Rank,Hotel Name,Sub-Region,Hotel Group,Type,HBS,Rating,Price,Value Score,Guest Score,Location,Amenities
1,"The Peninsula Chicago","The Loop","Peninsula Hotels","Luxury",100,5,950,5,98,97,99
2,"The Langham, Chicago","The Loop","Langham Hotels","Luxury",99.8,5,850,16,99,95,98
3,"Four Seasons Hotel Chicago","River North & Mag Mile","Four Seasons","Luxury",99.2,5,820,19,98,97,97
4,"Waldorf Astoria Chicago","Gold Coast, Lincoln Park & Lakeview","Hilton","Luxury",98.5,5,800,21,95,99,96
5,"Trump International Hotel & Tower Chicago","River North & Mag Mile","Trump Hotels","Luxury",98.2,5,780,23,96,98,97
6,"The Ritz-Carlton, Chicago","River North & Mag Mile","Marriott","Luxury",97.6,5,750,26,97,96,96
7,"Park Hyatt Chicago","River North & Mag Mile","Hyatt","Luxury",97,4.5,720,29,95,97,95
8,"Viceroy Chicago","Gold Coast, Lincoln Park & Lakeview","Viceroy","Luxury",96.4,4.5,620,39,94,99,93
9,"Thompson Chicago","Gold Coast, Lincoln Park & Lakeview","Hyatt","Luxury",95.8,4.5,540,47,93,98,90
10,"The Gwen, a Luxury Collection Hotel","River North & Mag Mile","Marriott","Luxury",95.2,4.5,580,43,93,98,91
11,"Conrad Chicago","River North & Mag Mile","Hilton","Luxury",94.6,4.5,550,46,92,97,90
12,"JW Marriott Chicago","The Loop","Marriott","Luxury",94.1,4.5,550,46,91,96,92
13,"Fairmont Chicago Millennium Park","The Loop","Accor","Luxury",93.5,4.5,490,52,90,97,91
14,"Sofitel Chicago Magnificent Mile","River North & Mag Mile","Accor","Luxury",93.2,4.5,500,51,89,97,88
15,"Loews Chicago Hotel","River North & Mag Mile","Loews Hotels","Luxury",92.9,4.5,510,50,90,95,90
16,"Chicago Athletic Association","The Loop","Hyatt","Historic Boutique",92.6,4.5,480,53,93,99,90
17,"Kimpton Hotel Monaco Chicago","The Loop","IHG","Boutique",92.3,4.5,420,59,90,99,85
18,"Virgin Hotels Chicago","The Loop","Virgin","Boutique",92.1,4.5,460,55,92,98,89
19,"The Hoxton, Chicago","West Loop & Fulton Market","Hoxton","Boutique",91.8,4.5,450,56,93,95,90
20,"Soho House Chicago","West Loop & Fulton Market","Soho House","Private Club",91.6,4.5,550,46,95,96,94
21,"Nobu Hotel Chicago","West Loop & Fulton Market","Nobu Hospitality","Luxury",91.4,4.5,650,36,96,97,92
22,"Ace Hotel Chicago","West Loop & Fulton Market","Ace Hotel","Boutique",91.2,4.5,420,59,91,94,88
23,"The Blackstone, Autograph Collection","The Loop","Marriott","Historic",91,4.5,450,56,90,94,87
24,"Hotel EMC2, Autograph Collection","River North & Mag Mile","Marriott","Boutique",90.8,4.5,410,60,91,95,87
25,"21c Museum Hotel Chicago","River North & Mag Mile","21c Museum Hotels","Boutique",90.6,4.5,390,62,92,95,88
26,"The Godfrey Hotel Chicago","River North & Mag Mile","Independent","Boutique",90.4,4,430,58,90,94,88
27,"Hyatt Centric The Loop Chicago","The Loop","Hyatt","Boutique",90.2,4,380,63,89,98,84
28,"citizenM Chicago Downtown","The Loop","citizenM","Boutique",90,4,290,72,91,98,82
29,"Staypineapple, An Iconic Hotel, The Loop","The Loop","Staypineapple","Boutique",89.8,4,330,68,92,98,83
30,"The Emily Hotel","West Loop & Fulton Market","Independent","Boutique",89.6,4,390,62,92,95,87
31,"The Robey","West Loop & Fulton Market","Grupo Habita","Boutique",89.4,4,400,61,92,90,87
32,"Hotel Lincoln","Gold Coast, Lincoln Park & Lakeview","Hyatt","Boutique",89.2,4,350,66,90,98,88
33,"The Talbott Hotel","Gold Coast, Lincoln Park & Lakeview","Hyatt","Boutique",89,4,490,52,92,98,88
34,"Renaissance Chicago Downtown Hotel","The Loop","Marriott","Business",88.8,4,470,54,89,99,88
35,"The Westin Chicago River North","River North & Mag Mile","Marriott","Business",88.6,4,450,56,88,97,87
36,"Hyatt Regency Chicago","The Loop","Hyatt","Business",88.4,4,400,61,86,99,90
37,"Sheraton Grand Chicago Riverwalk","River North & Mag Mile","Marriott","Business",88.2,4,480,53,87,98,89
38,"Swissotel Chicago","The Loop","Accor","Business",88,4,410,60,87,98,89
39,"InterContinental Chicago Magnificent Mile","River North & Mag Mile","IHG","Historic",87.8,4,460,55,85,99,88
40,"Chicago Marriott Downtown Magnificent Mile","River North & Mag Mile","Marriott","Business",87.6,4,470,54,86,99,87
41,"Hyatt Regency McCormick Place","South Loop & McCormick Place","Hyatt","Convention",87.4,4,420,59,87,90,92
42,"Marriott Marquis Chicago","South Loop & McCormick Place","Marriott","Convention",87.2,4,430,58,88,90,93
43,"Sophy Hyde Park","South Loop & McCormick Place","Independent","Boutique",87,4,400,61,94,85,88
44,"Hilton Chicago","South Loop & McCormick Place","Hilton","Historic",86.8,4,360,65,84,93,89
45,"Renaissance Blackstone Chicago Hotel","South Loop & McCormick Place","Marriott","Historic",86.6,4,410,60,89,94,87
46,"Embassy Suites by Hilton Chicago Downtown Magnificent Mile","River North & Mag Mile","Hilton","Family-Friendly",86.4,4,400,61,86,96,85
47,"The Palmer House Hilton","The Loop","Hilton","Historic",86.2,4,350,66,85,98,88
48,"W Chicago - City Center","The Loop","Marriott","Boutique",86,4,430,58,88,97,86
49,"Hyatt Place Chicago / Wicker Park","West Loop & Fulton Market","Hyatt","Boutique",85.8,4,360,65,89,91,84
50,"Publishing House Bed and Breakfast","West Loop & Fulton Market","Independent","B&B",85.6,4,350,66,97,90,81
