Field Name,Description,Type,Example
School Name,"Name of the high school",String,"Palo Alto High"
District,"School district the high school belongs to",String,"Palo Alto Unified"
T25,"Percentage of graduates attending a Top 25 National University",Number,18
T15LAC,"Percentage of graduates attending a Top 15 Liberal Arts College",Number,8
UC,"Percentage of graduates attending any University of California campus",Number,35
CSU,"Percentage of graduates attending any California State University campus",Number,15
Readiness,"College Readiness Score, on a 10-point scale",Number,9.2
classSize,"Approximate number of students in a graduating class",Number,530
topD,"Top 10 university destinations for graduates, with estimated number of students (c) attending each university (n)",String,"[{'n': 'Stanford University', 'c': 28}, ...]"
scaled_T25,"T25 matriculation percentage, scaled from 0-100 relative to other schools in the dataset",Number,63
scaled_T15LAC,"T15LAC matriculation percentage, scaled from 0-100 relative to other schools in the dataset",Number,62
scaled_UC,"UC matriculation percentage, scaled from 0-100 relative to other schools in the dataset",Number,58
scaled_CSU,"CSU matriculation percentage, scaled from 0-100 relative to other schools in the dataset",Number,14
scaled_Readiness,"Readiness score, scaled from 0-100 relative to other schools in the dataset",Number,68
ecpi,"Elite College Placement Index score, a weighted and mean-adjusted score from 0-100",Number,78.91
rank,"Overall rank based on the ECPI score",Number,14
