Field Name,Description,Type,Example
School Name,"Name of the high school",String,"University of Chicago Lab Schools"
Location,"General location or neighborhood",String,"Chicago (Hyde Park)"
T25,"Percentage of graduates attending a Top 25 National University",Number,45
T15LAC,"Percentage of graduates attending a Top 15 Liberal Arts College",Number,25
4YR,"Percentage of graduates enrolling in a 4-year college",Number,100
AES,"Academic Environment Score (1-10)",Number,10
Readiness,"College Readiness Score (1-10)",Number,9.9
classSize,"Approximate number of students in a graduating class",Number,150
topD,"Top 10 university destinations",String,"[{'n': 'UChicago', 'c': 25}, ...]"
ecpi,"Elite College Placement Index score",Number,95.2
rank,"Overall rank",Number,1
