Field Name,Description,Type,Example
School Name,"Name of the high school",String,"Walter Payton College Prep"
District,"School district the high school belongs to",String,"City of Chicago SD 299"
T25,"Percentage of graduates attending a Top 25 National University",Number,18
T15LAC,"Percentage of graduates attending a Top 15 Liberal Arts College",Number,10
4YR,"Percentage of graduates enrolling in a 4-year college",Number,95
AES,"Academic Environment Score (1-10)",Number,10
Readiness,"College Readiness Score (1-10)",Number,9.8
classSize,"Approximate number of students in a graduating class",Number,220
topD,"Top 10 university destinations",String,"[{'n': 'UChicago', 'c': 12}, ...]"
ecpi,"Elite College Placement Index score",Number,88.5
rank,"Overall rank",Number,1
