Field Name,Description,Type,Example
School Name,"Name of the high school",String,"Thomas Jefferson HS for Sci & Tech"
District,"School district the high school belongs to",String,"Fairfax County Public Schools (VA)"
T25_T15LAC,"Percentage of graduates attending a Top 25 National University or Top 15 Liberal Arts College",Number,75
Flagship,"Percentage of graduates attending the primary state/regional flagship public universities",Number,60
HBCU,"Percentage of graduates attending leading Historically Black Colleges and Universities",Number,1
Readiness,"College Readiness Score (1-10)",Number,10.0
classSize,"Approximate number of students in a graduating class",Number,480
topD,"Top 10 university destinations",String,"[{'n': 'University of Virginia', 'c': 60}, ...]"
ecpi,"Elite College Placement Index score",Number,95.2
rank,"Overall rank",Number,1
