Field Name,Description,Type,Example
School Name,"Name of the high school",String,"Trinity School"
Borough,"Borough",String,"Manhattan"
IvyPlus,"Percentage of graduates attending an Ivy League institution, plus Stanford, MIT, Duke, and UChicago",Number,42
T25,"Percentage of graduates attending a Top 25 National University",Number,55
T15LAC,"Percentage of graduates attending a Top 15 Liberal Arts College",Number,25
NYSTop,"Percentage of graduates attending other top-tier NYS institutions",Number,60
Readiness,"College Readiness Score (1-10)",Number,9.9
classSize,"Approximate number of students in a graduating class",Number,125
topD,"Top 10 university destinations",String,"[{'n': 'Harvard University', 'c': 10}, ...]"
ecpi,"Elite College Placement Index score",Number,98.5
rank,"Overall rank",Number,1
